video_id,video_title,video_url,duration_sec,rank,score,start_time_sec,end_time_sec,timestamp,timestamp_end,window_start_sec,window_end_sec,transcript_text,transcript_lang,image_file
UAUErgpdksM,GEN vs T1 매치 67 하이라이트 | 2026 LCK,https://www.youtube.com/watch?v=UAUErgpdksM,3092,1,1.0,1763,1793,00:29:23,00:29:53,1748,1808,>> 오 [환호] >> 저 뒤로 빠지면서 이번에 위로 올라갑니다. 팀원은 위로 올라가요. >> 믿다. 믿으로 그냥 가자. >> 베이즈가 >> 그러면 뒤를 또 쪼이나요? >> 같이 가서 기지에서 막아야죠. 맞아요. >> 다 차이가 나기 때문에어와 >> 이거 집 안 끊긴 건 다행이고요. 일단 >> 부르고 있는게 있어서 >> 집을 안 끊겨서 전만 다행 같은데요. >> 근데 어떻게 막아야 될까요? >> 일단 쌍고 막아야죠. 일단 >> 볼까요? 자 볼까요 >> 자 볼까요 볼까요? 이 와 오빠지겠또 [비명] 잡아버립니다 티원 >> 결국 [비명] 페이즈 달려 >> 넥서스가 파괴가 됩니다. [비명] >> 시대 >> 저 [웃음] 뭔딜이에요? >> 사실 젠지 입장에서 상체 위주로 봤을 때 특히 초비의 활약은 정말 저 미쳤다라고 밖에 말은 안 나오는데 >> 맞아요. >> 근데 전반적으로 봤을 때는 티원이 좀 더 바텀 중심의 운영을 잘했습니다. >> 앞으로 갈게. 앞에 오케이 >> 난 막을게 막을게 막았어 막았어 >> 사인 없어 사인 없어 >> 이거 광탄 많이 불리하거든 >> 이거 리세트 한번 해 뭐 안 돼리와 와와 와와와와,ko(auto),UAUErgpdksM/UAUErgpdksM_top1_1763s.jpg
UAUErgpdksM,GEN vs T1 매치 67 하이라이트 | 2026 LCK,https://www.youtube.com/watch?v=UAUErgpdksM,3092,2,0.6795,1299,1329,00:21:39,00:22:09,1284,1344,>> 그래도 한 명씩 교환이니까 >> 그니까 기가 페이커를 일단 교환했는데 >> 어느 정도 체크는 된 거 같아요. >> 확인. >> 예. 어느 정도는 예 눈치 챘어요. >> 그렇죠. 이동합니다. 올라가고 있는 오너 캐리아. >> 대신에 시야 체크하려면 몸이 좀 들어가야 돼요. >> 그렇죠. 어 강타 구도는 젠지도 약간 부담스러울 텐데요. >> 오너 붙어 있어요. >> 그래서 >> 4천대 >> 사이온 앞으로 밀어서 유도 >> 차고 일단 >> 근데 아래쪽에 초비를 한번 물어봤어요. >> 니쪽 쫓아내고 >> 뒤로가 빠집니다. >> 박자 업박자로 오른궁 >> 오론이 일단 지나갔고요. >> 뺐어요. 궁이 어떻게 [비명] 뺏어가 먹어. >> 근데 이제 수호천사 빠지는 것도 좀 아프긴 한데 그래도 >> 그럼 더 할 수 있 >> 오너 살릴 수 있나요? 버려야 돼 버려야 트콜이 있어 가지고 버려야 돼요. 버려야 돼요. 컨트콜이 남아 있는데 맞 >> 카르마를 열로 그 와중에 카르마 잡은 거 좋고요. >> 어 그래서 절묘하게 또 잡고 빠졌습니다. >> 뭐했어? 야 빼 빼야 돼. 빼 빼야 돼. 나냐? 어 빼 빼 빼 가져 가자 가자. >> 그러면은 그냥 거기 껴서 사이온도 위험합니다. >> 어 사이온이고,ko(auto),UAUErgpdksM/UAUErgpdksM_top2_1299s.jpg
UAUErgpdksM,GEN vs T1 매치 67 하이라이트 | 2026 LCK,https://www.youtube.com/watch?v=UAUErgpdksM,3092,3,0.5956,1546,1577,00:25:46,00:26:17,1531,1592,보여가지고 >> 근데 이게 이러면 누군 집 가고 누군 나왔잖아 이게 이게 오히려 티원이 이상해요. 잠깐만요. >> 부족해요. >> 어 우린 못 갔는데 >> 인원이 부족해요. >> 우린 못 갔는데 >> 부정가 >> 아 거 >> 보였어요. >> 보람만 못 간 걸로 >> 와 이게 야 이렇게 길게 >> 아니이 롱테이크신이 이런 결말이 나오나요? >> 무슨 장돌이 신을 보는 거 같았어요? 가 빠르게 위쪽으로 돌고 있어요. 오너도 한번 확인. 오비의 벽을 >> 왔어요. >> 이걸 났습니다. >> 벽 예술이었고요. >> 그리고 나서 벽 뒤에 페이즈가 앞정섭니다. 페이즈가 앞정섭니다. 궁극기를 쓸 수밖에 없는 긴 >> 딜은 나오거든요. >> 어서 이게 젠지도 적당히 미드 쪽만 주고 지연시키는게 낫지 않을까 싶긴 납니다. 근데 >> 리신이 붙어 있어요. 쪽에 붙어 있어요. >> 아마 그렇게 할 확률이 높아요. 일단 공 뺐고요. 리신이 지요하게 달라붙어서네. >> 듀로가 뒤로 돌긴 하는데 >> 예. 그냥 최대한 라인 좀 같이 지우면서 지연시키겠다는게 맞고요. 캐는데요. 그니까 뭔가 이게 포위대가 >> 봤어요. >> 물론 빨리 잡는 거는 좀 다른 얘긴데.,ko(auto),UAUErgpdksM/UAUErgpdksM_top3_1546s.jpg
UAUErgpdksM,GEN vs T1 매치 67 하이라이트 | 2026 LCK,https://www.youtube.com/watch?v=UAUErgpdksM,3092,4,0.4181,2134,2165,00:35:34,00:36:05,2119,2180,>> 매밀 조합으로 가는 그니까 전반적으로 라인 주도권을 통해서 승계를 잡고 승계를 잡았을 때 강제 이니시가 굉장히 많다고 봐야 돼요.이 바이나 카메 정도면 거의 확정적으로 걸 수 있으니까. [음악] 그래서 쭉쭉 굴리겠다면 젠지 조합이 오히려 밸런스는 괜찮은 상태에서 상대 조합이 좀 템포가 빠르니까 그거를 최대한 탈리아나 판테온을 통해서 지연시키면서 본인들 시간까지 벌겠다는 생각이 보입니다. >> 그 3세트 지금만 나오시죠. 어 둘이 같이 맞았는데요. 이거 꽤 꽂고 가네요. 캐리아가 >> 원래 저 카멜 서포터가 저렇게 칼날비 들고 오면 1레벨에 갈고리 발사이기는 조합은 없습니다. >> 그 상황에서 베리아의 움직임도 불구하고 교환 유체아까지 쓰면서 야 >> 헬리아가 [콧방귀] 어디 못 가게 막아주는게 [음악] 또 역할이니까 >> 어 아빠가지 >> 단단하게 따이버템에 해 봐. 어 봐도 위협적입니다. 전 미니언입니다. >> 자 그 상수하지만 뒤를 좀 실컷 한번 건드려 줘봤던 모습. 오는 걸 또 카밀이 검문소를 차렸는데요. >> 어 여기서 어 매밀 조합이 상당히 위협적입니다. 바텀,ko(auto),UAUErgpdksM/UAUErgpdksM_top4_2134s.jpg
UAUErgpdksM,GEN vs T1 매치 67 하이라이트 | 2026 LCK,https://www.youtube.com/watch?v=UAUErgpdksM,3092,5,0.3982,2690,2721,00:44:50,00:45:21,2675,2736,">> 내 밸리어도 없어요. >> 아 맞았다. >> 맞아. 이렇게 타워 타워 잡기네. 10초 10초거든 할만 >> 라인 와 라인 봐 >> 돌나 그렇게 안 돌지 안 돈다 안 돈다 >> 야 반대 반대 반 >> 잘만해 잘만해 잡아야 돼 >> 잡고 나공이라 그냥 해도 돼 >> 잡고 >> 좋다 좋다 야 얘는 10초야 10초 >> 아 타다 >> 타야 끝내야 한다. 아, 나이스요. >> 바로 쳐야 돼요. >> 아, 당이어. 아, >> 좋았다잉. >> 아, 왜 던지세요? >> 아, 나이스요. >> 질게 하는 거냐? [비명] >> 이기니까 또 해프닝처럼 됐죠. >> 잠깐 저 파였던 곳이 파인게 진짜 아찔했는데 >> 결국 뭐 건강한 조정이었던 걸로 끝이 나네요.은 >> 페이즈입니다. >> 네. 세러데이 쇼다운이었죠. 와, 정말 재밌는 경기였습니다. 2대 1로 승리하면서 세러데이 쇼다운 멋진 승리 가져가네요. >> 그렇죠. 아, 정말 오늘 모든 경기 내내 보면서 이제 뭐 선수들의 플레이도 너무 좋았지만 저 감독 코치",ko(auto),UAUErgpdksM/UAUErgpdksM_top5_2690s.jpg
N6WX84kd20E,Twisted Faker | HLE vs T1 게임 2 하이라이트 | 2026 LCK,https://www.youtube.com/watch?v=N6WX84kd20E,830,1,1.0,639,648,00:10:39,00:10:48,624,663,>> 테이 빠졌고 카나비 선수가 일단 나와주고요. >> 널소 빠졌고 자 강타 싸움까진 일어날 거 같습니다. 여기서 카나비 카나비 카나비 >> 카나비가 이제 고니 시간이에요. 고이 먼저 치고 나서 >> 한 턴 접고 장막 빠진 다음에 들어가야 돼요. >> 그렇죠. 일단 가이 없 오러가 들어왔다 나왔다. >> 오 그리고 여기 에니비아 벽이라서 도란 >> 아래쪽 꿀매 먹던 도란 때려주고 다시 제스가 >> 제우스 기 한 발에 못 잡았어요. 한 발리 못 잡았어요. >> 넘어갔는데요. >> 자 세 명 아웃 아웃 골드 카드 따라가고요. >> 사연이 버티고 있습니다. >> 계속 >> 그리고 아이 깨면 에이스 1번전 >> 바람 뒷바람도 받을 수 있습니다.,ko(auto),N6WX84kd20E/N6WX84kd20E_top1_639s.jpg
N6WX84kd20E,Twisted Faker | HLE vs T1 게임 2 하이라이트 | 2026 LCK,https://www.youtube.com/watch?v=N6WX84kd20E,830,2,0.9017,116,124,00:01:56,00:02:04,101,139,가겠습니다. 경기보시죠. 실제로 그리고 사이온 상대로 그웬이 최근에 나왔었다가 아예 라인전 면에서도 사이온한테 한번 밀린 적도 있어서 이런 부분도 재우 선수가 좀 더 잘 플레이해 줘야 될 거 같고요. 그리고 미드는 어 굉장히 제카 선수가 라인전을 잘 해주고 있습니다. 그렇습니다. >> 에니비아랑 그웬이 그냥 라인 잠시만요. 죄송합니다. 카나비 선수가 지금 전멸을 쓰고 넘어갔어요. >> 뭔가 의도가 있다는 거죠. 그러면요. >> 공을 넘어갔어요. >> 예. 그냥 넘어갈 선수가 아닙니다. 가라미가 그래서 >> 최대한 >> 아 분쇄 >> 진짜 네가 왜 여기서 나와요 이거는 >> 그래도 유체화까지 쓰긴 했는데 >> 아 >> 아 결국 쫓아다가면서 잡아냈습니다. 카스 터블 >> 자 진짜 잊을만하면 한 번씩 저런,ko(auto),N6WX84kd20E/N6WX84kd20E_top2_116s.jpg
N6WX84kd20E,Twisted Faker | HLE vs T1 게임 2 하이라이트 | 2026 LCK,https://www.youtube.com/watch?v=N6WX84kd20E,830,3,0.724,706,714,00:11:46,00:11:54,691,729,노려보는데 명으로 >> 도망을 아 >> 제카 선수와 딜라이트 선수가 >> 네 >> 빠르게 끊어줬고 추가 전투가 일어나면 >> 일단 사이온도 오긴 왔는데 >> 예 그럼 어떻게 페이커 아 페이커 방금 끊혔고요 >> 그래서 뒤로 도는 각을 보고 있죠 지금인가요 지금인가요 >> 지금하고 근데 불꽃으로 >> 알아요 >> 어 그래도 카미가 페이즈 >> 근데 그래도 나왔거든 >> 그래도 빠져 나왔어요 빠져왔어 빠져 나왔다는 뜻은 더 이상 도망갈 지 따라갈 힘이 없습니다. >> 야 이거 승부수 제대로 뛰었습니다만 >> 그외가 뒤고 뒤에서 >> 카드 바람카드 긁어서 마무리 >> 속도도 엄청 빨라요. >> 아 그리고 바람용이라서 도망갈 수가,ko(auto),N6WX84kd20E/N6WX84kd20E_top3_706s.jpg
N6WX84kd20E,Twisted Faker | HLE vs T1 게임 2 하이라이트 | 2026 LCK,https://www.youtube.com/watch?v=N6WX84kd20E,830,4,0.6691,481,490,00:08:01,00:08:10,466,505,>> 예 >> 그니까 이거 하다 못해온 텔리라도 써라 이거예요. 이게 그리고 지금 알기가 상당히 어려운 상황이었었는데 이제 알았습니다. 오너 >> 아 당대표 다대방 쪽으로 들어가야 됩니까? >> 이거 잘못하면 알리가 마크하고 이거 오히려 마킹하겠다는 거죠 >> 2600패가 오긴 하는데 >> 먹혔어요. >> 일단 먹혔고 그래도 그웬이 죽었고 이거 교전적으로이 바로 응게 만들 수 있거든요. >> 그렇죠? 여기서 조금 더 먹어야 됩니다. >> 자 제카는 >> 더 싹다 움직해야 돼요. 그말씩 기어 버튼 누르나요? 네. 그리고 카나비 >> 살리기 위해서지 못 >> 갖고 어 이러면 티원 이걸 또 아펠리오스에게 먹일 수 있나요?,ko(auto),N6WX84kd20E/N6WX84kd20E_top4_481s.jpg
N6WX84kd20E,Twisted Faker | HLE vs T1 게임 2 하이라이트 | 2026 LCK,https://www.youtube.com/watch?v=N6WX84kd20E,830,5,0.6143,240,249,00:04:00,00:04:09,225,264,"했는데 키를 그 부분은 실패를 했고 어쨌든 방금 그 오너 선수의 와드 하나가 엄청난 이득을 벌어왔습니다. 티오는 >> 상대편이 먹던 거 그냥 챙겼고요. 은파 >> 어 그리고 먼저 6렙 강타도 천이라서 지금 카나비는 죽을 맛이에요. >> 아 가지 돌리고 있습니다. 기절 음파 아 >> 근데 제우스가 제우스가 >> 제우스가 묻었어요. >> 발로 버텨줬고요. >> 아 근데 제우스 등장 타이밍이 >> 네 >> 제대로 한번 앞 어 체력이 체력이 체력이 길맞고 >> 만화가 없어서 예 만화 설계로 페이커 선수가 일단 실계산을 했죠. 아, 공략하고 있는 거 같습니다. 제우스도 거들어주고 있고요. >> 오너가",ko(auto),N6WX84kd20E/N6WX84kd20E_top5_240s.jpg
